group,sub,symbol,amt_1d,chg_1d,amt_5d,chg_5d,amt_20d,chg_20d,amt_60d,chg_60d,amt_1y,chg_1y,amt_ytd,ytd
電子–半導體,電子上游-IC-製造,華邦電,75.6,-9.95,1776.79466,31.36,5798.12667,52.17,9894.69416,152.33,15255.35549,712.73,1776.79466,31.36
電子–半導體,電子上游-IC-代工,台積電,525,0.3,4248.98873,8.71,10346.57329,14.23,30685.75244,19.48,103073.2314,59.3,4248.98873,8.71
電子–半導體,電子上游-記憶體製造,南亞科,40.8,-9.94,1482.39274,25.13,3285.5216,49.07,13288.88647,152.62,21470.15816,850.79,1482.39274,25.13
電子–光電,電子中游-LCD-TFT面板,群創,32.2,-3.86,591.47267,21.7,1051.73666,48.75,1341.05553,36.07,2901.51467,64.16,591.47267,21.7
電子–電子零組件,電子上游-PCB-材料設備,富喬,41.8,0.23,309.80191,-6.57,1328.80164,1.26,4366.89038,26.18,11237.89235,223.08,309.80191,-6.57
電子–半導體,電子上游-IC-封測,京元電子,49.1,-0.19,452.12944,6.26,1295.81865,15.1,4135.96374,54.71,8806.82738,144.04,452.12944,6.26
電子–半導體,電子上游-IP/ASIC,世芯-KY,32.9,-0.97,459.87168,2.56,1269.74423,10.43,4438.76718,6.82,18574.89072,30.01,459.87168,2.56
電子–半導體,電子上游-記憶體銷售,威剛,10.2,-9.79,77.62763,2.33,942.19168,53.35,2410.09489,62.04,4031.90149,322.89,77.62763,2.33
電子–半導體,電子上游-記憶體IC設計,群聯,59.1,-5.59,517.28191,17.24,2085.92423,48,5283.6106,102.06,8369.34924,297.52,517.28191,17.24
電子–其他電子,電子上游-PCB-材料設備,尖點,73.7,9.95,223.44767,3.16,1323.37361,42.03,3057.90107,75,5049.96846,535.74,223.44767,3.16
電子–半導體,電子上游-記憶體銷售,創見,58.5,-6.8,231.31618,31.38,490.79912,42.27,865.24479,111.07,1257.86671,220.51,231.31618,31.38
電子–電子零組件,電子上游-PCB-材料設備,凱崴,2.31,1.79,14.88915,-0.4,363.91676,90.51,575.79861,144.28,860.51382,393.61,14.88915,-0.4
電機機械,傳產-電機,大量,13,2.57,87.51798,-12.3,449.38007,-8.74,1413.17178,16.94,4495.08708,129.71,87.51798,-12.3
電子–通信網路,電子中游-通訊設備,光聖,45.3,4.89,205.97201,-2.21,799.75482,10.83,2750.13191,50.28,6537.52557,148.33,205.97201,-2.21
電子–半導體,電子上游-記憶體IC設計,愛普*,35.7,4.84,179.44949,1.56,426.80892,11.52,1193.43727,26.21,2590.58848,68.66,179.44949,1.56
電子–通信網路,電子中游-通訊設備,華星光,64.3,-4.21,340.89511,-5.07,1559.15194,19.77,2998.30237,65.24,10581.42488,60.62,340.89511,-5.07
電子–其他電子,電子中游-EMS,鴻海,75.3,0,867.45014,-0.43,2319.60585,-2.34,9810.48486,7.75,28238.3909,38.68,867.45014,-0.43
綠能環保,傳產-綠能環保,可寧衛*,97.4,10,291.39401,12.34,515.57661,59.19,679.44043,74.02,814.86266,109.81,291.39401,12.34
電子–半導體,電子上游-IC-封測,欣銓,5.44,2.48,111.43116,-2.81,403.21845,31.52,702.06603,53.55,2141.49547,106.98,111.43116,-2.81
電子–半導體,電子上游-IC-代工,力積電,44.2,-4.53,937.24404,25.54,2363.626,40.65,5995.01716,69.74,7820.6145,263.74,937.24404,25.54
電子–半導體,電子上游-IC-封測,矽格,6.84,1.74,88.37533,-1.29,335.77211,19.42,546.66296,30.39,1162.35431,78.41,88.37533,-1.29
電子–電子零組件,電子中游-電源供應器,康舒,52.5,7.44,82.90269,0.12,327.62007,5.61,1100.82612,28.92,1305.00924,46.79,82.90269,0.12
電子–半導體,電子上游-IC-設計,信驊,22.1,1.18,134.05904,5.37,501.40936,14.35,1741.68319,38.71,5465.49066,135.21,134.05904,5.37
電子–電子零組件,電子上游-PCB-材料設備,台燿,21,-0.32,217.25627,-5.47,964.40103,9.88,3477.32831,39.61,9350.88988,191.57,217.25627,-5.47
電子–半導體,電子上游-記憶體IC設計,晶豪科,6,-6.83,158.50733,24.15,418.50324,78.01,1051.19381,79.31,1651.19742,164.11,158.50733,24.15
電子–半導體,電子上游-記憶體銷售,十銓,49.2,-5.71,353.90806,11.11,797.37335,47.89,1529.34225,68,2079.48761,203.51,353.90806,11.11
電子–電子零組件,電子上游-被動元件,榮科,3.84,0.2,49.76627,-5.14,208.7771,8.62,534.70583,19.57,688.78639,195.55,49.76627,-5.14
電子–半導體,電子上游-IC-設計,聯發科,98.1,-1.38,775.73706,3.01,2243.56502,3.73,6470.99852,12.02,24535.67371,8.06,775.73706,3.01
電子–電腦及週邊設備,電子中游-EMS,緯穎,193,-8.82,412.13602,3.68,1137.88415,2.88,4380.70754,35.57,13629.21972,97.48,412.13602,3.68
電子–半導體,電子上游-IC-製造,旺宏,433,-9,858.96774,60.46,1552.43876,63.35,3880.45469,136.64,4814.48897,256.62,858.96774,60.46
電子–半導體,電子上游-IC-封測,穎崴,58,9.92,192.42564,11.8,549.51855,18.69,1597.14119,39.87,4542.75347,186.46,192.42564,11.8
其他,電子下游-消費電子,雷虎,53.7,-4.1,54.98824,9.31,201.96219,14.86,595.6941,7.09,2143.95115,149.61,54.98824,9.31
電子–光電,電子中游-光學鏡片,大立光,52.9,2.02,208.40214,-0.8,566.75548,19.57,990.48576,6.68,3728.38402,-3.49,208.40214,-0.8
電子–電子零組件,電子中游-電源供應器,台達電,65.4,0,756.67101,4.88,1980.4696,4.02,7065.62961,-1.94,18229.79433,156.99,756.67101,4.88
電子–半導體,電子上游-IC-封測,聯鈞,16.4,0.58,148.60314,-3.89,704.0642,-6.32,2077.06783,-1.14,9817.71149,-8.74,148.60314,-3.89
電子–其他電子,電子中游-儀器設備工程,亞翔,20.8,2.03,169.61633,6.88,772.29228,20.04,1816.41507,39.15,5045.51639,166.51,169.61633,6.88
電子–電子零組件,電子中游-電源供應器,環科,0.0536,1.53,5.6197,-7.13,126.03664,37.72,166.05855,98.36,181.34894,86.15,5.6197,-7.13
電子–半導體,電子上游-IC-封測,日月光投控,40.8,-0.91,338.98819,9.18,992.23689,13.96,3491.46658,58.09,7821.84513,74.66,338.98819,9.18
電機機械,電子上游-IC-代工,中砂,6.42,-0.48,93.48808,4.04,309.31276,17.19,673.12847,27.91,2375.90859,46.86,93.48808,4.04
電子–電腦及週邊設備,電子中游-二次電池,順達,15.6,-0.82,79.49822,-9.94,653.31237,17.64,1326.86851,-8.86,5153.08439,71.22,79.49822,-9.94
電子–半導體,電子上游-記憶體銷售,宇瞻,65.1,0.39,134.79748,12.39,286.24782,32.29,860.00578,37.3,1086.63227,213.97,134.79748,12.39
鋼鐵工業,傳產-鋼鐵,第一銅,2.75,-1.25,38.00434,-0.21,132.62312,7.24,249.86115,11.07,605.94852,39.61,38.00434,-0.21
